频道名,地址,跳过原因
安徽综艺体育,https://stream1.freetv.fun/an-hui-zong-yi-ti-yu-4.ctv,重复URL
安徽综艺体育,https://stream1.freetv.fun/an-hui-zong-yi-ti-yu-8.m3u8,重复URL
卡酷动画,https://zby.130519.xyz/PLTV/11/224/3221226019/index.m3u8,重复URL
卡酷动画,http://[2409:8087:1a15:10d1::33]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8,重复URL
卡酷动画,http://[2409:8087:5e08:25::16]:6610/200000001898/460000089800010081/1.m3u8,重复URL
卡酷动画,https://migu.188766.xyz/?migutoken=1023983db6b5249e61d4950c1654cd84&id=%E5%8C%97%E4%BA%AC%E5%8D%A1%E9%85%B7%E5%B0%91%E5%84%BF&type=yy,重复URL
卡酷动画,https://migu.188766.xyz/?migutoken=2c51384549aec8a85219fdc0c475e40b&id=%E5%8C%97%E4%BA%AC%E5%8D%A1%E9%85%B7%E5%B0%91%E5%84%BF&type=yy,重复URL
动漫秀场,https://zby.130519.xyz/PLTV/11/224/3221225764/index.m3u8,重复URL
动漫秀场,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000031113,重复URL
动漫秀场,https://stream1.freetv.fun/dong-man-xiu-chang-11.m3u8,重复URL
动漫秀场,https://stream1.freetv.fun/ipv6-dong-man-xiu-chang-11.m3u8,重复URL
动漫秀场,https://stream1.freetv.fun/dong-man-xiu-chang-9.ctv,重复URL
炫动卡通,https://zby.130519.xyz/PLTV/11/224/3221226161/index.m3u8,重复URL
炫动卡通,http://php.jdshipin.com/TVOD/hnyd.php?id=200000001898/460000089800010117,重复URL
炫动卡通,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226931/1.m3u8,重复URL
炫动卡通,https://stream1.freetv.fun/ha-ha-xuan-dong-29.m3u8,重复URL
炫动卡通,https://stream1.freetv.fun/ha-ha-xuan-dong-8.m3u8,重复URL
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8,重复URL
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8,重复URL
CCTV1,http://204.12.221.218:8181/3m1080p/cctv1.m3u8,重复URL
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd,重复URL
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009,重复URL
CCTV2,http://204.12.221.218:8181/3m1080p/cctv2.m3u8,重复URL
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8,重复URL
CCTV2,http://198.204.228.26/live/cctv2hd.m3u8,重复URL
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8,重复URL
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8,重复URL
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8,重复URL
CCTV3,http://69.30.245.50/live/cctv3.m3u8,重复URL
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd,重复URL
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8,重复URL
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8,重复URL
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8,重复URL
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8,重复URL
CCTV5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009,重复URL
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8,重复URL
CCTV6,http://69.30.245.50/live/cctv6.m3u8,重复URL
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8,重复URL
CCTV6,http://198.204.228.26/live/cctv6hd.m3u8,重复URL
CCTV6,http://198.204.240.250:82/live/cctv6.m3u8,重复URL
CCTV7,http://69.30.245.50/live/cctv7.m3u8,重复URL
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8,重复URL
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8,重复URL
CCTV7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd,重复URL
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8,重复URL
CCTV8,http://69.30.245.50/live/cctv8.m3u8,重复URL
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8,重复URL
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8,重复URL
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8,重复URL
CCTV9,http://198.204.228.26/live/cctv9hd.m3u8,重复URL
CCTV9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd,重复URL
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8,重复URL
CCTV10,http://69.30.245.50/live/cctv10.m3u8,重复URL
CCTV10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009,重复URL
CCTV10,http://204.12.221.218:8181/3m1080p/cctv10.m3u8,重复URL
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8,重复URL
CCTV11,http://198.204.228.26/live/cctv11hd.m3u8,重复URL
CCTV11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009,重复URL
CCTV11,http://204.12.221.218:8181/3m1080p/cctv11.m3u8,重复URL
CCTV11,http://38.75.136.137:98/gslb/dsdqpub/cctv11hd.m3u8?auth=testpub,重复URL
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8,重复URL
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8,重复URL
CCTV12,http://38.75.136.137:98/gslb/dsdqbv/cctv12hd.m3u8?auth=test20251009,重复URL
CCTV12,http://204.12.221.218:8181/3m1080p/cctv12.m3u8,重复URL
CCTV12,http://38.75.136.137:98/gslb/dsdqpub/cctv12hd.m3u8?auth=testpub,重复URL
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8,重复URL
CCTV13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009,重复URL
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8,重复URL
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8,重复URL
CCTV14,http://198.204.228.26/live/cctv14hd.m3u8,重复URL
CCTV14,http://204.12.221.218:8181/3m1080p/cctv14.m3u8,重复URL
CCTV14,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv14hd,重复URL
CCTV14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009,重复URL
CCTV15,http://204.12.221.218:8181/3m1080p/cctv15.m3u8,重复URL
CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8,重复URL
CCTV15,http://198.204.228.26/live/cctv15hd.m3u8,重复URL
CCTV15,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd,重复URL
CCTV15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009,重复URL
CCTV16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009,重复URL
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub,重复URL
CCTV16,http://207.56.13.146:81/cdnlive/cctv16.m3u8,重复URL
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8,重复URL
CCTV17,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd,重复URL
CCTV17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009,重复URL
CCTV17,https://live.264788.xyz/channel/cctv17?streamid=f9c36f1e95b5b35eac89cc89583e7c0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub,重复URL
风云剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyjc,重复URL
风云剧场,http://173.208.212.130:8181/720p/fyjc.m3u8,重复URL
兵器科技,https://live.264788.xyz/channel/bingqikeji?streamid=530cb4e58bbc48b7fc26f5e0a2e47966&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
兵器科技,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gfjs,重复URL
兵器科技,http://207.56.13.146:81/cdnlive/gfjs.m3u8,重复URL
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub,重复URL
第一剧场,http://107.150.60.122/live/dyjc.m3u8,重复URL
第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=e9b0fb1ca135a4aeae12944494883794&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
第一剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dyjc,重复URL
第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=d81e188b59ece96b7e8f1ce34aea3ef8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub,重复URL
央视台球,http://107.150.60.122/live/ystq.m3u8,重复URL
央视台球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq,重复URL
央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8,重复URL
风云足球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq,重复URL
风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8,重复URL
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub,重复URL
高尔夫网球,http://104.152.209.49:8181/720p/gefwq.m3u8,重复URL
高尔夫网球,http://207.56.13.146:81/cdnlive/gefwq.m3u8,重复URL
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub,重复URL
世界地理,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sjdl,重复URL
世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub,重复URL
风云音乐,https://live.264788.xyz/channel/fengyunyinyue?streamid=1b41fb9153cba3ee19bd5d1b323da27e&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
风云音乐,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyyy,重复URL
风云音乐,https://live.264788.xyz/channel/fengyunyinyue?streamid=be37d16b874e7ba11dd383d7ecd75752&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8,重复URL
风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub,重复URL
女性时尚,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss,重复URL
女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8,重复URL
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub,重复URL
怀旧剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc,重复URL
怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub,重复URL
电视指南,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dszn,重复URL
CCTV8K,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k,重复URL
CETV1,http://198.204.228.26/live/cetv1hd.m3u8,重复URL
CETV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cetv1hd,重复URL
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8,重复URL
CETV1,http://38.75.136.137:98/gslb/dsdqpub/cetv1hd.m3u8?auth=testpub,重复URL
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8,重复URL
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8,重复URL
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8,重复URL
湖南卫视,http://74.91.26.218:82/live/hnwshd.m3u8,重复URL
湖南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hnwshd,重复URL
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8,重复URL
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8,重复URL
浙江卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=zjwshd,重复URL
东方卫视,http://107.150.60.122/live/dfwshd.m3u8,重复URL
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009,重复URL
东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8,重复URL
东方卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dfwshd,重复URL
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub,重复URL
江苏卫视,http://107.150.60.122/live/jswshd.m3u8,重复URL
江苏卫视,http://38.75.136.137:98/gslb/dsdqbv/jswshd.m3u8?auth=test20251009,重复URL
江苏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jswshd,重复URL
安徽卫视,http://107.150.60.122/live/ahwshd.m3u8,重复URL
安徽卫视,http://198.204.228.26/live/ahwshd.m3u8,重复URL
安徽卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ahwshd,重复URL
安徽卫视,http://204.12.221.218:8181/3m1080p/ahws.m3u8,重复URL
东南卫视,http://107.150.60.122/live/dnwshd.m3u8,重复URL
东南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dnwshd,重复URL
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub,重复URL
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8,重复URL
北京卫视,http://107.150.60.122/live/bjwshd.m3u8,重复URL
北京卫视,http://104.152.209.49:8181/720p/bjws.m3u8,重复URL
北京卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=bjwshd,重复URL
北京卫视,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009,重复URL
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8,重复URL
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8,重复URL
深圳卫视,http://107.150.60.122/live/szwshd.m3u8,重复URL
深圳卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=szwshd,重复URL
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub,重复URL
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8,重复URL
厦门卫视,http://192.151.150.154/live/xmws.m3u8,重复URL
厦门卫视,http://107.150.60.122/live/xmws.m3u8,重复URL
厦门卫视,http://198.204.228.26/live/xmws.m3u8,重复URL
厦门卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xmws,重复URL
吉林卫视,http://107.150.60.122/live/jlwshd.m3u8,重复URL
吉林卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlwshd,重复URL
四川卫视,https://live.264788.xyz/channel/sichuanweishi4k?streamid=401bf692a1a8b91298f26077d53316d6&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
四川卫视,http://107.150.60.122/live/scwshd.m3u8,重复URL
四川卫视,https://live.264788.xyz/channel/sichuanweishi4k?streamid=21be5901ee81559c827dc84e46f26452&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
四川卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=scwshd,重复URL
天津卫视,http://107.150.60.122/live/tjwshd.m3u8,重复URL
天津卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=tjwshd,重复URL
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub,重复URL
宁夏卫视,http://107.150.60.122/live/nxws.m3u8,重复URL
宁夏卫视,https://live.264788.xyz/channel/ningxiaweishi?streamid=1b2952717a920173e66d4a348f9dcb5c&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
宁夏卫视,https://live.264788.xyz/channel/ningxiaweishi?streamid=551474d02bee1c160e1692e22c45ddba&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
宁夏卫视,https://live.264788.xyz/channel/ningxiaweishi?streamid=e1236348f815c36a0429357e5b5c5f10&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
宁夏卫视,http://198.204.228.26/live/nxws.m3u8,重复URL
山东卫视,http://198.204.228.26/live/sdwshd.m3u8,重复URL
山东卫视,http://107.150.60.122/live/sdwshd.m3u8,重复URL
山东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sdwshd,重复URL
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8,重复URL
山西卫视,http://204.12.221.218:8181/3m1080p/sxws.m3u8,重复URL
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=69e002ac7467d661ff7ad0671ed43f16&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
山西卫视,https://live.264788.xyz/channel/shanxiweishi?streamid=eeb7d60ca6e0db131ea7a092a3cd28d2&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
山西卫视,http://107.150.60.122/live/sxwshd.m3u8,重复URL
山西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sxwshd,重复URL
广东卫视,http://107.150.60.122/live/gdwshd.m3u8,重复URL
广东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd,重复URL
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4,重复URL
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8,重复URL
广西卫视,http://107.150.60.122/live/gxwshd.m3u8,重复URL
广西卫视,http://198.204.228.26/live/gxwshd.m3u8,重复URL
广西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxwshd,重复URL
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub,重复URL
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8,重复URL
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8,重复URL
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8,重复URL
新疆卫视,http://107.150.60.122/live/xjws.m3u8,重复URL
新疆卫视,http://198.204.228.26/live/xjws.m3u8,重复URL
新疆卫视,https://live.264788.xyz/channel/xinjiangweishi?streamid=4f481f56ae39ce5d24203471de9df635&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
新疆卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xjws,重复URL
云南卫视,http://107.150.60.122/live/ynwshd.m3u8,重复URL
云南卫视,http://192.151.150.154/live/ynwshd.m3u8,重复URL
云南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ynwshd,重复URL
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8,重复URL
江西卫视,http://107.150.60.122/live/jxwshd.m3u8,重复URL
江西卫视,https://live.264788.xyz/channel/jiangxiweishi?streamid=555198f31caa33506ac6abb70d788959&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
江西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jxwshd,重复URL
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub,重复URL
河北卫视,http://204.12.221.218:8181/3m1080p/hews.m3u8,重复URL
河北卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hewshd,重复URL
河北卫视,http://38.75.136.137:98/gslb/dsdqpub/hewshd.m3u8?auth=testpub,重复URL
河南卫视,http://107.150.60.122/live/hawshd.m3u8,重复URL
河南卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hawshd,重复URL
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8,重复URL
湖北卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hbwshd,重复URL
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8,重复URL
甘肃卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gswshd,重复URL
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub,重复URL
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8,重复URL
西藏卫视,http://107.150.60.122/live/xzws.m3u8,重复URL
西藏卫视,https://live.264788.xyz/channel/xizangweishi?streamid=4b4e8ea919f1cfd5e43deed1d1675251&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
西藏卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xzws,重复URL
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8,重复URL
西藏卫视,http://120.76.248.139/live/bfgd/4200000489.m3u8,重复URL
贵州卫视,https://live.264788.xyz/channel/guizhouweishi?streamid=091bd59ea031989839c23459bb8cc9d4&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,重复URL
贵州卫视,http://107.150.60.122/live/gzwshd.m3u8,重复URL
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub,重复URL
贵州卫视,http://204.12.221.218:8181/3m1080p/gzws.m3u8,重复URL
贵州卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gzwshd,重复URL
辽宁卫视,http://198.204.228.26/live/lnwshd.m3u8,重复URL
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8,重复URL
辽宁卫视,http://204.12.221.218:8181/3m1080p/lnws.m3u8,重复URL
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub,重复URL
辽宁卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnwshd,重复URL
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8,重复URL
重庆卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cqwshd,重复URL
陕西卫视,http://192.151.150.154/live/snwshd.m3u8,重复URL
陕西卫视,http://107.150.60.122/live/snwshd.m3u8,重复URL
陕西卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=snwshd,重复URL
青海卫视,http://107.150.60.122/live/qhws.m3u8,重复URL
青海卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=qhws,重复URL
