频道名,地址,logo,tvg频道名,tvg国家,tcg语言,tvg分组,tvg-id,resolution
3ABN Latino,https://3abn.bozztv.com/3abn2/Lat_live/smil:Lat_live.smil/playlist.m3u8,https://i.imgur.com/Ugb4AFo.png,,,,Religious,3ABNLatino.us@SD,
3ABN Praise Him Music Network,https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8,https://i.imgur.com/iBcqT8L.png,,,,Music;Religious,3ABNPraiseHimMusicNetwork.us@SD,
3ABN Proclaim! Network,https://3abn.bozztv.com/3abn2/Pro_live/smil:Pro_live.smil/playlist.m3u8,https://i.imgur.com/zUMUNhe.png,,,,Religious,3ABNProclaimNetwork.us@SD,
3ABN TV Uganda (720p) [Not 24/7],https://3abn.bozztv.com/3abn/3abn_uganda_live/index.m3u8,https://i.imgur.com/mml9lI2.png,,,,Religious,3ABNTVUganda.ug@SD,
3AW Melbourne (1080p),https://3awlive.akamaized.net/hls/live/2032295/3AW/index.m3u8,https://i.imgur.com/Z4MdB0S.png,,,,News,3AW.au@SD,
3Cat Càmeres del temps (1080p),https://directes-tv-int.3catdirectes.cat/live-content/beauties-hls/master.m3u8,https://i.imgur.com/zXy2kbe.png,,,,Public;Weather,3CatCameresdeltemps.es@SD,
3Cat Exclusiu 1 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/oca1-hls/master.m3u8,https://i.imgur.com/YQvLPT1.png,,,,News;Public,3CatExclusiu1.es@SD,
3Cat Exclusiu 2 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/oca2-hls/master.m3u8,https://i.imgur.com/YQvLPT1.png,,,,News;Public,3CatExclusiu2.es@SD,
3Cat Exclusiu 3 (1080p) [Geo-blocked],https://directes-tv-cat.3catdirectes.cat/live-content/oca3-hls/master.m3u8,https://i.imgur.com/YQvLPT1.png,,,,News;Public,3CatExclusiu3.es@SD,
3Cat Plats bruts (1080p),https://fast-tailor.3catdirectes.cat/v1/channel/ccma-channel2/hls.m3u8,https://i.imgur.com/49ZENis.png,,,,Classic;Comedy;Public;Series,3CatPlatsbruts.es@SD,
3CatInfo (1080p),https://directes-tv-int.3catdirectes.cat/live-origin/canal324-hls/master.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/3CatInfo_logo.svg/960px-3CatInfo_logo.svg.png,,,,News;Public,3CatInfo.es@SD,
3HD,https://live-us1.thaimomo.com/live-as/ch3hd-3/playlist.m3u8,https://i.imgur.com/YRiulCU.png,,,,General,3HD.th@SD,
3point.dk,https://jmp2.uk/plu-65b915780cb1a1000889b837.m3u8,,,,,Undefined,,
3sat (720p) [Geo-blocked],https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/3sat_2019.svg/960px-3sat_2019.svg.png,,,,General,3sat.de@SD,
3 Stones TV (240p) [Not 24/7],https://goliveafrica.media:9998/live/64d21e682fd26/index.m3u8,https://i.imgur.com/im3g7T2.png,,,,General,3StonesTV.ke@SD,
4 Afghanistan,https://4afghls.persiana.live/hls/stream.m3u8,,,,,Undefined,4Afghanistan.fr@SD,
4DmásNoticias TV (1080p) [Not 24/7],https://rds3.desdeparaguay.net/4dmasnoticiastv/4dmasnoticiastv/playlist.m3u8,https://i.ibb.co/1fb5BtN/unnamed.png,,,,News,4DmasNoticiasTV.py@SD,
4E (1080p),http://eu2.tv4e.gr:554/live/smil:myStream.sdp.smil/playlist.m3u8,https://i.imgur.com/Na0UCV7.png,,,,Religious,4E.gr@SD,
4 Fun Kids (576i) [[Not 24/7]],https://stream.4fun.tv:8889/hls/4fk_high/index.m3u8,https://i.imgur.com/2JO5Y8c.png,,,,Kids,4FunKids.pl@SD,
4 Fun TV (576i) [Not 24/7],https://stream.4fun.tv:8888/hls/4f_high/index.m3u8,https://i.imgur.com/rI1wo2l.png,,,,Music,4FunTV.pl@SD,
4K Travel TV (1080p),https://streams2.sofast.tv/sofastplayout/33c31ac4-51fa-46ae-afd0-0d1fe5e60a80_0_HLS/master.m3u8,,,,,Undefined,,
4 Kurd,https://4kuhls.persiana.live/hls/stream.m3u8,https://www.aparatchi.com/images/chanells-logo/4kurd.svg,,,,Music,4Kurd.fr@SD,
4TV News (576p),https://cdn-4.pishow.tv/live/1007/master.m3u8,https://jiotvimages.cdn.jio.com/dare_images/images/4_TV.png,,,,News,4TVNews.in@SD,
4U TV (720p),https://hls.4utv.live/hls/stream.m3u8,https://i.imgur.com/PexhKwp.png,,,,Entertainment,4UTV.tr@SD,
4UV (1080p),https://d3qg1liq0unuxm.cloudfront.net/4UV.m3u8,,,,,Undefined,,
5-Minute Craft (1080p),https://soul-5mincrafteng-rakuten.amagi.tv/playlist.m3u8,,,,,Undefined,,
5AAB TV (720p) [Not 24/7],http://158.69.124.9:1935/5aabtv/5aabtv/playlist.m3u8,https://i.imgur.com/jrGrfof.png,,,,Entertainment,5AABTV.ca@SD,
5 Cops,https://jmp2.uk/plu-5d2c571faeb3e2738ae27933.m3u8,https://i.imgur.com/QFPRaXK.png,,,,Series,5Cops.us@UK,
5 Emergency Rescue,https://jmp2.uk/plu-63c1384e829c850007922ca4.m3u8,,,,,Undefined,,
5 Exploring Britain,https://jmp2.uk/plu-5ddf901280e3550009139c86.m3u8,,,,,Undefined,,
5 minut tishiny (1080p),https://cdn-dvr.ntv.ru/5_minut_tishiny/index.m3u8,https://cdn2-static.ntv.ru/home/promo/24740/5minut_live.jpg,,,,Series,5minuttishiny.ru@SD,
5 Plus (720p),https://mmtvs.exliatycl.online/5plus/stream.m3u8,https://i.imgur.com/4EHL2mH.png,,,,Entertainment,5Plus.mm@SD,
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""Sports"",5Sport (1080p)",,https://i.imgur.com/dRVsB89.png,,,,Sports,5Sport.il@SD,
5 Trucking Hell,https://jmp2.uk/plu-656df2849d5ac400083be647.m3u8,,,,,Undefined,,
5TV Corrientes (480p) [Not 24/7],http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8,https://i.imgur.com/mSn7ACs.png,,,,General,5tv.ar@SD,
6PR Perth (1080p),https://6prlive.akamaized.net/hls/live/2033806/6PR/index.m3u8,https://i.imgur.com/Q9iCxg1.png,,,,News,6PR.au@SD,
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""General"",6 sotok (1080p)",,https://i.imgur.com/icSN0GI.png,,,,General,6sotok.ua@SD,
6ter (1080p),http://145.239.5.177/314/index.m3u8,https://i.imgur.com/2nd5Cox.png,,,,Entertainment,6ter.fr@SD,
6 TV Telugu (576p),https://yuppparoriglin.akamaized.net/181224/smil:6tv.smil/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b,https://i.imgur.com/l3EcRnZ.png,,,,News,6TVTelugu.in@SD,
6 Wise Tv (720p),https://live.enhdtv.com:8081/8150/index.m3u8,https://jrlist70.pages.dev/list/wise.png,,,,Family,6WiseTv.us@SD,
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""Entertainment"",7/8 TV",,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Seven-Eight-TV.png/960px-Seven-Eight-TV.png,,,,Entertainment,78TV.bg@SD,
7 Gold (1080p),https://streamcdnr6-dddfac816632463dac50b21109dc1bb3.msvdn.net/live/S58803518/OOZape6Nxp4H/playlist.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/7gold.jpg/960px-7gold.jpg,,,,Entertainment,7Gold.it@SD,
7 Info,https://video1.getstreamhosting.com:1936/8042/8042/playlist.m3u8,https://i.imgur.com/jcl1nNR.png,,,,News,7Info.ci@SD,
7 RadioVisione (720p),https://stream10.xdevel.com/video1s976543-1932/stream/playlist.m3u8,https://radio7note.com/img/favicon/android-icon-192x192.png,,,,Music,7RadioVisione.it@HD,
"like Gecko) Chrome/147.0.0.0 Safari/537.36"" group-title=""Music"",7S Music (576p)",,https://i.imgur.com/zDiIhdN.png,,,,Music,7SMusic.in@SD,
7 TeleValencia (576p),https://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8,https://i.imgur.com/ILfXDRs.png,,,,General,Canal7TeleValencia.es@SD,
7th Heaven,https://jmp2.uk/plu-6728c9c85534bb0008b320a4.m3u8,https://images.pluto.tv/channels/6728c9c85534bb0008b320a4/colorLogoPNG.png,,,,Series,7thHeaven.se@DK,
7th Heaven,https://jmp2.uk/plu-6728ca75529ac9000830ab14.m3u8,https://images.pluto.tv/channels/6728c9c85534bb0008b320a4/colorLogoPNG.png,,,,Series,7thHeaven.se@NO,
7th Heaven,https://jmp2.uk/plu-6728cab6e482950008b76d8c.m3u8,https://images.pluto.tv/channels/6728c9c85534bb0008b320a4/colorLogoPNG.png,,,,Series,7thHeaven.se@SE,
7TV (576p),http://31.148.48.15/7TV/index.m3u8,https://i.imgur.com/GpCwqUF.png,,,,Undefined,Seven.ru@SD,
8 La Marina TV (576p),https://streaming005.gestec-video.com/hls/canal24.m3u8,https://i.imgur.com/BTJvvBK.png,,,,General,8LaMarinaTV.es@SD,
8NTV (1080p),https://60417ddeaf0d9.streamlock.net/ntv/videontv/playlist.m3u8,https://i.imgur.com/7ecgGIG.png,,,,General,8NTV.mx@SD,
8 Out Of 10 Cats (1080p),https://d1l7vcuh4hn9ei.cloudfront.net/8OutOf10Cats_GB.m3u8,,,,,Undefined,,
8 Out of 10 Cats (1080p) [Geo-blocked],https://amg00627-amg00627c37-samsung-au-4294.playouts.now.amagi.tv/playlist/amg00627-banijayfast-8outof10cats-samsungau/playlist.m3u8,,,,,Undefined,,
8 Out of 10 Cats (1080p) [Geo-blocked],https://amg00627-amg00627c37-samsung-nz-4295.playouts.now.amagi.tv/playlist.m3u8,,,,,Undefined,,
8TV (1080p) [Geo-blocked],,https://i.imgur.com/Jkx9W88.png,,,,Entertainment,8TV.my@SD,
8XM (576p),http://115.42.65.142:9981/stream/channelid/582886861,https://i.imgur.com/KLrfKRn.png,,,,Music,8XM.pk@SD,
9Gem (720p) [Geo-blocked],https://9now-livestreams.akamaized.net/hls/live/2008311/gem-syd/master.m3u8,https://i.imgur.com/cwLzqaw.png,,,,Entertainment,9Gem.au@Sydney,
9Go! (720p) [Geo-blocked],https://9now-livestreams.akamaized.net/hls/live/2008312/go-syd/master.m3u8,https://i.imgur.com/RLijQI8.png,,,,Entertainment;Kids,9Go.au@Sydney,
9 la Loma TV (1080p) [Geo-blocked],https://9laloma.tv/live.m3u8,https://i.imgur.com/WQP3el2.png,,,,General,9laLomaTV.es@SD,
9Life (720p) [Geo-blocked],https://9now-livestreams.akamaized.net/hls/live/2008313/life-syd/master.m3u8,https://i.imgur.com/HlJOrGI.png,,,,Lifestyle,9Life.au@Sydney,
9X Jalwa (1080p),https://b.jsrdn.com/strm/channels/9xjalwa/master.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_9X_JALWA/images/LOGO_HD/image.png,,,,Music,9XJalwa.in@SD,
9X Jhakaas (1080p),https://amg01281-9xmediapvtltd-9xjhakaas-samsungin-ci2cs.amagi.tv/playlist/amg01281-9xmediapvtltd-9xjhakaas-samsungin/playlist.m3u8,https://dtil.tmsimg.com/assets/s90012_ld_h15_aa.png?lock=720x540,,,,Music,9XJhakaas.in@SD,
9X Tashan (1080p),https://amg01281-9xmediapvtltd-9xtashan-samsungin-xz1sd.amagi.tv/playlist/amg01281-9xmediapvtltd-9xtashan-samsungin/playlist.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_9X_TASHAN/images/LOGO_HD/image.png,,,,Music,9XTashan.in@SD,
9XM (1080p),https://9xjio.wiseplayout.com/9XM/master.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_9XM/images/LOGO_HD/image.png,,,,Music,9XM.in@SD,
10 Bold Adelaide (1080p),https://dce3793146fef017.mediapackage.us-west-2.amazonaws.com/out/v1/55cdf73af7894775ba6de8f57482b66a/CMAF_HLS/index.m3u8,https://i.imgur.com/2xglh33.png,,,,Lifestyle;Relax,10Bold.au@Sydney,
10 TV (720p),https://mumbai-edge.smartplaytv.in/10TV/index.m3u8,https://xstreamcp-assets-msp.streamready.in/assets/LIVETV/LIVECHANNEL/LIVETV_LIVETVCHANNEL_10TV/images/LOGO_HD/image.png,,,,News,10TV.in@SD,
11 Kanal (720p),,https://i.imgur.com/y78saaG.png,,,,General,Channel11.ua@SD,
12TV Alicante (720p),,https://i.imgur.com/VSTgXsh.png,,,,General,12tv.es@SD,
12 TV Parma (540p) [Not 24/7],https://5929b138b139d.streamlock.net/12TVParma/livestream/playlist.m3u8,https://i.imgur.com/mBYxWOg.png,,,,General,12TVParma.it@SD,
12 канал (1080p),https://12channel.bonus-tv.ru/cdn/12channel/playlist.m3u8,https://i.imgur.com/OA9hm6e.png,,,,General,Channel12.ru@SD,
13C (1080p),https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8,https://i.imgur.com/Zfe2f5j.png,,,,Culture,13C.cl@SD,
13 Entretención (720p),https://origin.dpsgo.com/ssai/event/BBp0VeP6QtOOlH8nu3bWTg/master.m3u8,https://i.imgur.com/utI1tJV.png,,,,Entertainment,13E.cl@SD,
13 Festival (1080p),https://origin.dpsgo.com/ssai/event/Nftd0fM2SXasfDlRphvUsg/master.m3u8,https://i.imgur.com/Ymk6j5o.png,,,,Music,13Festival.cl@SD,
13 Humor (1080p),https://origin.dpsgo.com/ssai/event/cKWySXKgSK-SzlJmESkOWw/master.m3u8,https://i.imgur.com/KvMuTzN.png,,,,Comedy,13Humor.cl@SD,
13 Kids (1080p),https://origin.dpsgo.com/ssai/event/LhHrVtyeQkKZ-Ye_xEU75g/master.m3u8,https://i.imgur.com/8WJUbSD.png,,,,Kids,13Kids.cl@SD,
13 Prime (720p),https://origin.dpsgo.com/ssai/event/p4mmBxEzSmKAxY1GusOHrw/master.m3u8,https://i.imgur.com/R6D228s.png,,,,Lifestyle,13P.cl@SD,
13 Realities (1080p),https://origin.dpsgo.com/ssai/event/g7_JOM0ORki9SR5RKHe-Kw/master.m3u8,https://i.imgur.com/m0SuwMU.png,,,,Entertainment,13Realities.cl@SD,
13Rec (720p),http://cdn1tlinkgo.tlink.cl/13rec/mono.m3u8,https://i.imgur.com/WtBbxEf.png,,,,Classic,13Rec.cl@SD,
13 Siam Thai (1080p),https://live.x2.co.th/live/13livetv-th.m3u8,https://i.imgur.com/FvEp1S2.png,,,,News,13SiamThai.th@SD,
13 Teleseries (720p),https://origin.dpsgo.com/ssai/event/f4TrySe8SoiGF8Lu3EIq1g/master.m3u8,https://i.imgur.com/csBNi2L.png,,,,Series,13T.cl@SD,
15+ Music (1080p),https://live.15plusmg.ru/memfs/ce3366b1-bf25-4e24-96bb-1adf0d44bd3d.m3u8,https://i.imgur.com/kj21hwd.png,,,,Music,15PlusMusic.ru@HD,
15TV (720p) [Not 24/7],https://cdn.fastocloud.com/leonel.m3u8,https://i.imgur.com/CZ8LKmA.png,,,,General,15TV.mx@SD,
15.1 BPB (720p),https://v2.tustreaming.cl/enlacebpbtv/index.m3u8,https://i.imgur.com/hyxkJYV.png,,,,Religious,151BPB.cl@SD,
16 Anni e Incinta,https://jmp2.uk/plu-60940a07d88ba90007b9cb71.m3u8,https://images.pluto.tv/channels/60940a07d88ba90007b9cb71/colorLogoPNG.png,,,,Entertainment,16AnnieIncinta.de@IT,
16tv Budapest (360p),https://cloudfront44.lexanetwork.com:1344/freerelay/16tv.sdp/playlist.m3u8,https://i.imgur.com/04fCzHl.png,,,,General,16tvBudapest.hu@SD,
20 Mediaset [Geo-blocked],https://live3-mediaset-it.akamaized.net/Content/hls_h0_clr_vos/live/channel(lb)/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/20_Mediaset_2018.svg/960px-20_Mediaset_2018.svg.png,,,,Entertainment,20.it@SD,
20 Minutes TV (1080p),https://live-20minutestv.digiteka.com/1961167769/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/20_Minutes_TV_IDF_logo_%282023%29.png/960px-20_Minutes_TV_IDF_logo_%282023%29.png,,,,General,20MinutesTV.fr@SD,
21 Jump Street (1080p),https://cb562753.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmFrdXRlblRWLWV1XzIxSnVtcFN0cmVldF9ITFM/playlist.m3u8,,,,,Undefined,,
21 Jump Street (720p),https://d1oefjzrirx6fc.cloudfront.net/21_Jump_Street_SONO6.m3u8,,,,,Undefined,,
21 Jump Street,https://jmp2.uk/plu-686cffbf3ffa5e0c91cdcfb3.m3u8,,,,,Undefined,,
21 Jump Street,https://jmp2.uk/plu-699c15a9f0b71f2e2eec4393.m3u8,,,,,Undefined,,
21 Jump Street,https://jmp2.uk/plu-699c162a684d0f308795258f.m3u8,,,,,Undefined,,
21 Jump Street,https://jmp2.uk/plu-699c169077cdde1f05252eb9.m3u8,,,,,Undefined,,
22Scope News (1080p),https://thelegitpro.in/HDlive/22scope/index.fmp4.m3u8,https://jiotvimages.cdn.jio.com/dare_images/images/22Scope_News.png,,,,News,22ScopeNews.in@SD,
24/7 Canal de Noticias,https://panel.host-live.com:19360/cn247tv/cn247tv.m3u8,https://i.imgur.com/4hDCB1M.png,,,,News,247CanaldeNoticias.ar@SD,
24 Horas (1080p),http://cdn1tlinkgo.tlink.cl/24horashd/mono.m3u8,https://i.imgur.com/CEE9zPe.png,,,,News,24Horas.cl@SD,
24 Horas Canarias (1080p),http://185.47.212.25:8080/24h_HD/index.m3u8,https://i.ibb.co/21sXZ3GT/24h.png,,,,News;Public,24HorasCanarias.es@SD,
24 Hour Free Movies (720p),https://d1j2u714xk898n.cloudfront.net/scheduler/scheduleMaster/145.m3u8,https://i.imgur.com/iSVnzR1.png,,,,Movies,24HourFreeMovies.us@SD,
24 Kanal (720p),https://cdn15.live-tv.cloud/ua_infinitas_tv/news24-abr/playlist.m3u8,https://pbs.twimg.com/profile_images/1498285886714298374/EMSJzC-0_400x400.jpg,,,,News,24Kanal.ua@SD,
24 News (576p),https://mumt07.tangotv.in/zHjX9OFlTWENTYFOURNEWS/index.m3u8,https://sund-images.sunnxt.com/202222/300x300_24News_202222_d63feca0-79ae-47ea-b75a-66c17d456f4c.png,,,,News,24News.in@SD,
24 Канал (1080p),https://streamvideol1.luxnet.ua/news24/smil:news24.stream.smil/playlist.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/24_Group_Ukraine_04.png/960px-24_Group_Ukraine_04.png,,,,News,Channel24.ua@SD,
27 TwentySeven [Geo-blocked],https://live2.msf.cdn.mediaset.net/content/hls_h0_cls_vos/live/channel(ts)/index.m3u8,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Twentyseven_logo.svg/960px-Twentyseven_logo.svg.png,,,,Movies;Series,Twentyseven.it@SD,
28 kanala,https://streaming.28kanala.eus/hls/z.m3u8,https://i.imgur.com/DyvK28q.png,,,,General,28kanala.es@SD,
30A Darcizzle Offshore (720p),https://30a-tv.com/darcizzle.m3u8,https://i.imgur.com/Q4l2uao.png,,,,Outdoor,30ADarcizzleOffshore.us@SD,
30A Georgia Hollywood Review TV (720p),https://30a-tv.com/gh.m3u8,https://images.axios.com/JiG3RuYBwpU_WZFeU6HHjt03FAU=/111x0:1191x1080/320x320/2023/11/09/1699558891265.jpg,,,,Entertainment;News,30AGeorgiaHollywoodReview.us@SD,
30A Golf Kingdom (720p),https://30a-tv.com/feeds/vidaa/golf.m3u8,https://i.imgur.com/Lv53nh4.png,,,,Sports,30AGolfKingdom.us@SD,
30A Investment Pitch (720p),https://30a-tv.com/feeds/xodglobal/30atv.m3u8,https://i.imgur.com/CKCtZo7.png,,,,Business,30AInvestmentPitch.us@SD,
30A Lionel Nation TV,https://30a-tv.com/ln.m3u8,https://m.media-amazon.com/images/I/71dgsQwVcNL.png,,,,News,30ALionelNation.us@SD,
30A Loomered TV,https://30a-tv.com/loomer.m3u8,https://cbs12.com/resources/media/0c1ecad8-fb09-4bb2-beaa-fc561dfe624a-small21x9_LoomerStill.jpg?1603419052801,,,,Documentary;News,30ALoomeredTV.us@SD,
30A Luxe Life Discovered (720p),https://30a-tv.com/feeds/vidaa/luxelife.m3u8,https://m.media-amazon.com/images/I/51FJ5A0mEyL.jpg,,,,Lifestyle,30ALuxeLifeDiscovered.us@SD,
30A Music (720p),https://30a-tv.com/music.m3u8,https://i.imgur.com/gNWg9tl.png,,,,Music,30AMusic.us@SD,
30A Ridiculous TV (720p),https://30a-tv.com/feeds/720p/63.m3u8,https://30a.media/wp-content/uploads/2023/08/pzaz-30atv-2-230x366-ridiculous.jpg,,,,Comedy,30ARidiculousTV.us@SD,
30A Sidewalks (720p),https://30a-tv.com/sidewalks.m3u8,https://i.imgur.com/HSdwqZN.png,,,,Entertainment,30ASidewalks.us@SD,
30A Television Channel (720p),https://30a-tv.com/feeds/masters/30atv.m3u8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTHiYfIB01K44LIBG81aEGAmDuIWw8MA0f2w&s,,,,Entertainment,30ATelevisionChannel.us@SD,
30A The Beach Show (720p),https://30a-tv.com/beachy.m3u8,https://i.imgur.com/0j5Aget.png,,,,Shop,30ATheBeachShow.us@SD,
30A TV Classic Movies (720p),https://30a-tv.com/feeds/pzaz/30atvmovies.m3u8,https://babaktv.com/wp-content/uploads/2023/09/30A-Classi-Movies.jpeg,,,,Movies,30ATVClassicMovies.us@SD,
30A We Love Cars (720p),https://30a-tv.com/feeds/vidaa/cars.m3u8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxroqfE_hvEApKMQx03sSYXPeEh4ClaF5QSa8XfRwJW_So3vfSN0CjqzxN30H-qEBswqU&usqp=CAU,,,,Auto,30AWeLoveCars.us@SD,
31 Kanal (576p),http://stream.mcquack.net/388/index.m3u8,https://www.ikegami.co.jp/files/co/news/20250903_kazakhstanChannel31/Channel31_Logo.jpg,,,,General,31Kanal.kz@SD,
36 TV Huacho (720p),https://live-evg10.tv360.bitel.com.pe/bitel/36tvSRT/playlist.m3u8,https://i.imgur.com/F4NZM3s.jpeg,,,,General,36TVHuacho.pe@SD,
36.6 TV,https://dash2.antik.sk/live/test_tridsatsest_hd_atktv/playlist.m3u8,https://i.imgur.com/sC0K5BZ.png,,,,Lifestyle,366TV.ua@SD,
48 Hours,https://jmp2.uk/plu-62e925bc68d18a00077bb990.m3u8,https://images.pluto.tv/channels/6176f39e709f160007ec61c3/colorLogoPNG.png,,,,Series,48Hours.us@CA,
48 Hours (1080p),https://dai.google.com/linear/hls/event/JUr94WL2QAiVpGNHY5n5dA/master.m3u8,https://images.pluto.tv/channels/6176f39e709f160007ec61c3/colorLogoPNG.png,,,,Series,48Hours.us@US,
50 Canale,https://load-balancer.azotosolutions.com/cdnedge37/canale50/playlist.m3u8,https://i.imgur.com/D3OTRzf.png,,,,General,50Canale.it@SD,
